,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,52,XRP,XRP,xrp,1199,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54266821529.0,99988013070.0,False,,6,,,,2024-01-15T20:02:00.000Z,0.5805223676933675,1169202348.0513844,87.7192,0.41641148,0.74018237,-0.15842519,-6.24642009,-5.80803445,17.71652547,31503103721.20849,1.866,58052236769.34,,2024-01-15T20:02:00.000Z,,,,,,2024-01-15 15:03:23.154937
6,3408,USDC,USDC,usd-coin,16211,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25478318020.595673,25478318020.595673,False,,7,,,,2024-01-15T20:02:00.000Z,1.0000736732116016,5570262987.558966,76.3465,-0.00736706,-0.01242222,0.00088522,-0.0073716,0.01868115,0.00626699,25480195090.110455,1.5092,25480195090.11,,2024-01-15T20:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-15 15:03:23.154937
7,2010,Cardano,ADA,cardano,1024,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35395218393.759,36528237975.525,False,,8,,,,2024-01-15T20:01:00.000Z,0.5338099698373593,378419012.58579403,25.8297,0.2453168,-0.70253186,-1.54214567,-12.50128163,45.63859597,115.72200224,18894320463.159237,1.1195,24021448642.68,,2024-01-15T20:01:00.000Z,,,,,,2024-01-15 15:03:23.154937
8,5805,Avalanche,AVAX,avalanche,636,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366648629.74595827,434681539.74595827,False,,9,,,,2024-01-15T20:01:00.000Z,36.356573258845636,520253157.59608763,-10.4319,0.16927818,0.6430456,0.33409491,-14.47537392,65.5707535,298.2021365,13330087767.614302,0.7898,26176732746.37,,2024-01-15T20:01:00.000Z,,,,,,2024-01-15 15:03:23.154937
9,74,Dogecoin,DOGE,dogecoin,873,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142665966383.70523,142665966383.70523,True,,10,,,,2024-01-15T20:02:00.000Z,0.08112644444113046,304960256.351812,-28.1733,-0.03275348,0.42389822,-0.12565092,-13.9691222,1.88639779,37.50925443,11573982595.467848,0.6855,11573982595.47,,2024-01-15T20:02:00.000Z,,,,,,2024-01-15 15:03:23.154937
10,1958,TRON,TRX,tron,897,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88229536908.80948,88229575294.69254,True,,12,71659659264.0,8020558459.853197,,2024-01-15T20:01:00.000Z,0.11192571304734801,302242394.4476873,-14.6733,-1.10140106,-0.1715304,7.29044484,9.34637805,9.72281472,27.08149247,9875153830.35581,0.5851,9875158126.72,,2024-01-15T20:01:00.000Z,,,,,,2024-01-15 15:03:23.154937
11,6636,Polkadot,DOT,polkadot-new,661,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1295729977.344991,1400089534.6501708,True,,11,,,,2024-01-15T20:01:00.000Z,7.622362394871225,210248571.88216728,28.8765,-0.03571979,1.9337852,1.73781222,7.81714136,40.96726948,107.2960704,9876523453.221804,0.5851,10671989818.37,,2024-01-15T20:01:00.000Z,,,,,,2024-01-15 15:03:23.154937
12,1975,Chainlink,LINK,chainlink,1568,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,13,,,,2024-01-15T20:01:00.000Z,15.33434673018523,761532173.4277723,27.5069,-0.8578304,2.62945216,6.5984114,6.5979897,9.4746786,109.3314611,8711441924.331015,0.5162,15334346730.19,,2024-01-15T20:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-15 15:03:23.154937
13,11419,Toncoin,TON,toncoin,187,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3456768549.9465566,5101209073.773723,True,,14,3414166606.0,8318364543.5682745,,2024-01-15T20:02:00.000Z,2.436426075092445,71908160.27848886,-12.823,0.29088965,4.61409152,6.44183695,9.09657832,6.31290768,18.20574893,8422161030.649292,0.4989,12428718801.84,,2024-01-15T20:02:00.000Z,,,,,,2024-01-15 15:03:23.154937
14,3890,Polygon,MATIC,polygon,1239,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9562650827.633085,10000000000.0,False,,15,,,,2024-01-15T20:01:00.000Z,0.8467899020124242,348241504.0555564,19.4423,-0.41739809,-0.43047554,1.38358951,-0.31729405,-1.46142602,62.93377498,8097556157.310448,0.4798,8467899020.12,,2024-01-15T20:01:00.000Z,,,,,,2024-01-15 15:03:23.154937
